babai amada babem aparo mares
ocupa mofam etapa ganem aramo
nasal atura babar liame asses
monto arais tabas adoro rosas
efeso garoa urras aderi saias
tolho apear canja acham moamo
azara rajam agape caiai assis
fixam abaco zelai ereta rosas
acuem cifre atais tanga amais
miudo adiou nevas saara aliai
terca aboli cacar onere somas
fugis afana canal anela mamao
exumo sanou ilhes meada assai
batel acaba lacar abane meios
gabem acaba babam abana meios
radar irado bacia adiai soais
solem abade reter esima mamas
ageis barba ateei caira ossos
pores raiva escol miara assas
brios roamo obtem coege assai

